task,encoding,combo,C1,C2,C3,C4,C5,C6,CSR_obj,CSR_normal,CSR_counter,status,notes
MC-FE-02,H,RRS,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: Tailwind classes detected; C6: inline data assumed
MC-FE-02,NLc,RRR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: no CSS Modules usage detected; C6: inline data assumed
MC-FE-02,NLc,CRR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,"C3: heavy inline styles, not CSS Modules"
MC-FE-02,NLc,SRR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,"C3: heavy inline styles, not CSS Modules; C6: inline data assumed"
MC-FE-02,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-02,NLc,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-02,NLc,RRC,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: no CSS Modules usage detected
MC-FE-02,NLc,RRS,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: no CSS Modules usage detected
MC-FE-02,NLf,RRR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: no CSS Modules usage detected; C6: inline data assumed
MC-FE-02,NLf,CRR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,"C3: heavy inline styles, not CSS Modules"
MC-FE-02,NLf,SRR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: Tailwind classes detected
MC-FE-02,NLf,RCR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: no CSS Modules usage detected
MC-FE-02,NLf,RSR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: no CSS Modules usage detected
MC-FE-02,NLf,RRC,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: no CSS Modules usage detected; C6: inline data assumed
MC-FE-02,NLf,RRS,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: no CSS Modules usage detected; C6: inline data assumed
MC-FE-03,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,H,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,H,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLc,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLc,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLc,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLc,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLc,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLf,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-03,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,H,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,C3: plain CSS assumed
MC-FE-04,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,H,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLc,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLc,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLc,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLc,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLc,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLf,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-04,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,H,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,H,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLc,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLc,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLc,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLc,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLc,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLf,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-01,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,H,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,H,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLc,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLc,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLc,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLc,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLc,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLf,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-02,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,H,SRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no set iteration for broadcast found
MC-BE-03,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,H,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,NLc,RRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no set iteration for broadcast found
MC-BE-03,NLc,CRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no set iteration for broadcast found
MC-BE-03,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,NLc,RCR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no set iteration for broadcast found
MC-BE-03,NLc,RSR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no set iteration for broadcast found
MC-BE-03,NLc,RRC,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no set iteration for broadcast found
MC-BE-03,NLc,RRS,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no set iteration for broadcast found
MC-BE-03,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,NLf,RCR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no set iteration for broadcast found
MC-BE-03,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-03,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,H,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,H,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLc,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLc,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLc,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLc,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLc,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLf,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-BE-04,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,H,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,H,RSR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: importlib imported
MC-PY-01,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLc,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLc,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLc,RSR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: ABC/abstractmethod imported
MC-PY-01,NLc,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLc,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLf,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-01,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,H,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,H,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLc,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLc,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLc,RSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S2_MISSING,S2 file missing (known)
MC-PY-02,NLc,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLc,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLf,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-02,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,H,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,H,RSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S2_MISSING,S2 file missing (known)
MC-PY-03,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLc,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLc,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLc,RSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S2_MISSING,S2 file missing (known)
MC-PY-03,NLc,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLc,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLf,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-03,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,H,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,H,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,H,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,H,RSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S2_MISSING,S2 file missing (known)
MC-PY-04,H,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,H,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLc,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLc,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLc,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLc,RCR,1,1,1,0,1,1,0.833,0.750,1.000,SCORED,C4: only 2/10 methods have return type hints
MC-PY-04,NLc,RSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S2_MISSING,S2 file missing (known)
MC-PY-04,NLc,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLc,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLf,RRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLf,CRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLf,SRR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLf,RCR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S2_MISSING,S2 file missing (known)
MC-PY-04,NLf,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLf,RRC,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-PY-04,NLf,RRS,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
